,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
1036,Dan Christian,13,13,40,298,11,02-Oct,27.09,7.45,21.81,0,0
1037,Shardul Thakur,12,12,38.1,315,11,Mar-19,28.63,8.25,20.81,0,0
1038,Lasith Malinga,12,12,44.5,382,11,02-May,34.72,8.52,24.45,0,0
1039,Basil Thampi,12,12,44.4,424,11,Mar-29,38.54,9.49,24.36,0,0
1040,Krunal Pandya,13,13,40,273,10,Mar-14,27.3,6.82,24,0,0
1041,Sunil Narine,16,15,59,412,10,Feb-29,41.2,6.98,35.4,0,0
1042,Zaheer Khan,11,11,40.1,313,10,Mar-20,31.3,7.79,24.1,0,0
1043,Amit Mishra,14,14,38.5,343,10,03-Nov,34.3,8.83,23.3,0,0
1044,Mohammed Siraj,6,6,23,212,10,Apr-32,21.2,9.21,13.8,1,0
1045,Samuel Badree,7,7,25,188,9,04-Sep,20.88,7.52,16.66,1,0
1046,Washington Sundar,11,10,30,185,8,Mar-16,23.12,6.16,22.5,0,0
1047,Harbhajan Singh,11,11,41,266,8,Mar-22,33.25,6.48,30.75,0,0
1048,Ashish Nehra,6,6,21.1,197,8,Mar-42,24.62,9.3,15.87,0,0
1049,Glenn Maxwell,14,8,19,125,7,Feb-15,17.85,6.57,16.28,0,0
1050,Mitchell Johnson,5,5,20,141,7,Mar-26,20.14,7.05,17.14,0,0
1051,Varun Aaron,6,6,20,163,7,02-Mar,23.28,8.15,17.14,0,0
1052,Adam Zampa,6,6,19.5,163,7,Feb-22,23.28,8.21,17,0,0
1053,Shahbaz Nadeem,7,7,17.5,119,6,Feb-13,19.83,6.67,17.83,0,0
1054,Hardik Pandya,17,13,26,213,6,Feb-22,35.5,8.19,26,0,0
1055,Kagiso Rabada,6,6,21.2,188,6,Feb-20,31.33,8.81,21.33,0,0
1056,Piyush Chawla,6,6,20,179,6,Feb-34,29.83,8.95,20,0,0
1057,Praveen Kumar,6,6,16.3,151,6,Feb-22,25.16,9.15,16.5,0,0
1058,James Faulkner,8,8,26.2,258,6,Feb-34,43,9.79,26.33,0,0
1059,Aniket Choudhary,5,5,16.5,144,5,Feb-17,28.8,8.55,20.2,0,0
1060,Tymal Mills,5,5,17.5,153,5,Feb-31,30.6,8.57,21.4,0,0
1061,Sreenath Aravind,10,10,30.3,275,5,Feb-29,55,9.01,36.6,0,0
1062,Trent Boult,6,6,23.5,216,5,Feb-30,43.2,9.06,28.6,0,0
1063,Shane Watson,8,8,26.5,245,5,Jan-16,49,9.13,32.2,0,0
