,Player,Ov,Runs,Wkts,Dots,Econ,SR,Against,Venue,Match Date
885,Anand Rajan,4,20,1,11,5,24,DC,Arun Jaitley Stadium,12-Apr-13
886,Mohit Sharma,4,20,0,16,5,0,MI,Wankhede Stadium,05-May-13
887,Shahbaz Nadeem,4,20,0,8,5,0,MI,Arun Jaitley Stadium,21-Apr-13
888,Albie Morkel,4,20,0,9,5,0,PBKS,Chidambaram,02-May-13
889,Vinay Kumar,3.2,17,2,11,5.1,10,KKR,JSCA Stadium,12-May-13
890,Ravi Rampaul,3.4,19,2,15,5.18,11,RR,M. Chinnaswamy Stadium,20-Apr-13
891,Mohit Sharma,4,21,3,11,5.25,8,PWI,Maharashtra Cricket Association's International Stadium,30-Apr-13
892,Azhar Mahmood,4,21,3,11,5.25,8,KKR,IS Bindra Stadium,16-Apr-13
893,Sandeep Sharma,4,21,3,12,5.25,8,SRH,IS Bindra Stadium,11-May-13
894,Rahul Sharma,4,21,2,12,5.25,12,SRH,Maharashtra Cricket Association's International Stadium,17-Apr-13
895,Pragyan Ojha,4,21,2,9,5.25,12,KKR,Eden Gardens,24-Apr-13
896,Dale Steyn,4,21,2,14,5.25,12,DC,Rajiv Gandhi Intl. Cricket Stadium,04-May-13
897,Dhawal Kulkarni,4,21,2,12,5.25,12,RR,Wankhede Stadium,15-May-13
898,Ravi Rampaul,4,21,2,14,5.25,12,PWI,M. Chinnaswamy Stadium,23-Apr-13
899,Harbhajan Singh,4,21,2,10,5.25,12,RCB,Wankhede Stadium,27-Apr-13
900,Ravichandran Ashwin,2,3,2,10,1.5,6,DC,Zayed Cricket Stadium,21-Apr-14
901,Jaydev Unadkat,2,3,1,10,1.5,12,PBKS,IS Bindra Stadium,25-May-14
902,Shane Watson,2,5,1,9,2.5,12,RCB,Zayed Cricket Stadium,26-Apr-14
903,Axar Patel,4,11,2,13,2.75,12,KKR,Eden Gardens,28-May-14
904,Ravindra Jadeja,4,12,4,14,3,6,KKR,JSCA Stadium,02-May-14
905,Varun Aaron,3,9,1,12,3,18,DC,Sharjah Cricket Stadium,17-Apr-14
906,Suresh Raina,2,6,0,6,3,0,RR,Dubai International Stadium,23-Apr-14
907,Lakshmipathy Balaji,4,13,4,12,3.25,6,SRH,Sharjah Cricket Stadium,22-Apr-14
908,Umesh Yadav,4,13,3,15,3.25,8,PBKS,Eden Gardens,28-May-14
909,Harbhajan Singh,4,13,2,17,3.25,12,RR,Narendra Modi Stadium,19-May-14
910,Rajat Bhatia,4,13,2,11,3.25,12,CSK,Dubai International Stadium,23-Apr-14
911,Shakib Al Hasan,4,13,1,12,3.25,24,DC,Arun Jaitley Stadium,07-May-14
912,Amit Mishra,4,13,0,13,3.25,0,RR,Narendra Modi Stadium,08-May-14
913,Bhuvneshwar Kumar,4,14,4,17,3.5,6,RR,Narendra Modi Stadium,08-May-14
914,Mohit Sharma,4,14,4,14,3.5,6,MI,Dubai International Stadium,25-Apr-14
915,Rishi Dhawan,4,14,2,11,3.5,12,RCB,Dubai International Stadium,28-Apr-14
916,Ashok Dinda,4,14,1,12,3.5,24,MI,Dubai International Stadium,19-Apr-14
917,Harbhajan Singh,4,14,0,12,3.5,0,RCB,Dubai International Stadium,19-Apr-14
918,Lasith Malinga,4,15,2,10,3.75,12,CSK,Wankhede Stadium,10-May-14
919,Mitchell Starc,4,15,0,16,3.75,0,PBKS,Dubai International Stadium,28-Apr-14
920,Varun Aaron,4,16,3,13,4,8,KKR,Sharjah Cricket Stadium,24-Apr-14
921,Axar Patel,4,16,2,11,4,12,KKR,Zayed Cricket Stadium,26-Apr-14
922,Bhuvneshwar Kumar,4,16,2,18,4,12,RCB,M. Chinnaswamy Stadium,04-May-14
923,Karanveer Singh,4,16,2,12,4,12,RR,IS Bindra Stadium,23-May-14
924,Ravichandran Ashwin,4,16,2,17,4,12,RCB,JSCA Stadium,18-May-14
925,Morne Morkel,4,16,1,16,4,24,MI,Zayed Cricket Stadium,16-Apr-14
926,Ashok Dinda,2,8,0,7,4,0,RR,Zayed Cricket Stadium,26-Apr-14
927,Harbhajan Singh,4,16,0,9,4,0,SRH,Dubai International Stadium,30-Apr-14
928,Ravi Rampaul,4,16,0,13,4,0,RR,Zayed Cricket Stadium,26-Apr-14
929,Karn Sharma,2,8,0,5,4,0,RR,Zayed Cricket Stadium,18-Apr-14
930,Karn Sharma,4,17,3,14,4.25,8,RCB,M. Chinnaswamy Stadium,04-May-14
931,Lasith Malinga,4,17,2,14,4.25,12,DC,Sharjah Cricket Stadium,27-Apr-14
932,Yuzvendra Chahal,4,17,2,9,4.25,12,MI,Dubai International Stadium,19-Apr-14
933,Bhuvneshwar Kumar,4,17,2,16,4.25,12,MI,Dubai International Stadium,30-Apr-14
934,Wayne Parnell,4,17,1,17,4.25,24,MI,Sharjah Cricket Stadium,27-Apr-14
935,Sunil Narine,4,17,1,14,4.25,24,RCB,Sharjah Cricket Stadium,24-Apr-14
936,Lakshmipathy Balaji,4,17,1,11,4.25,24,RCB,Dubai International Stadium,28-Apr-14
937,Ravichandran Ashwin,4,17,0,9,4.25,0,SRH,Sharjah Cricket Stadium,27-Apr-14
938,JP Duminy,3,13,0,9,4.33,0,MI,Sharjah Cricket Stadium,27-Apr-14
939,Kane Richardson,4,18,2,11,4.5,12,RCB,Zayed Cricket Stadium,26-Apr-14
940,Ravindra Jadeja,4,18,2,10,4.5,12,RR,JSCA Stadium,13-May-14
941,Ben Hilfenhaus,2,9,1,7,4.5,12,DC,Zayed Cricket Stadium,21-Apr-14
942,Yuzvendra Chahal,4,18,1,11,4.5,24,DC,Sharjah Cricket Stadium,17-Apr-14
943,Abu Nechim,4,18,1,7,4.5,24,CSK,JSCA Stadium,18-May-14
944,Sunil Narine,4,18,1,9,4.5,24,DC,Dubai International Stadium,19-Apr-14
945,Sunil Narine,4,18,1,10,4.5,24,MI,Barabati Stadium,14-May-14
946,Axar Patel,4,18,1,12,4.5,24,DC,Arun Jaitley Stadium,19-May-14
947,Piyush Chawla,4,19,3,7,4.75,8,PBKS,Barabati Stadium,11-May-14
948,Piyush Chawla,4,19,3,10,4.75,8,PBKS,Zayed Cricket Stadium,26-Apr-14
949,Bhuvneshwar Kumar,4,19,3,15,4.75,8,PBKS,Sharjah Cricket Stadium,22-Apr-14
950,Karn Sharma,4,19,2,12,4.75,12,CSK,JSCA Stadium,22-May-14
951,Mitchell Johnson,4,19,2,12,4.75,12,RCB,Dubai International Stadium,28-Apr-14
952,Samuel Badree,4,19,1,15,4.75,24,RR,JSCA Stadium,13-May-14
953,Shahbaz Nadeem,4,19,1,9,4.75,24,MI,Sharjah Cricket Stadium,27-Apr-14
954,Karn Sharma,4,19,1,9,4.75,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
955,Sunil Narine,4,19,0,10,4.75,0,SRH,Eden Gardens,24-May-14
956,Sunil Narine,4,20,4,13,5,6,MI,Zayed Cricket Stadium,16-Apr-14
957,Sunil Narine,4,20,4,9,5,6,RCB,Eden Gardens,22-May-14
958,Pravin Tambe,4,20,4,14,5,6,RCB,Zayed Cricket Stadium,26-Apr-14
959,Sandeep Sharma,3,15,3,12,5,6,RCB,Dubai International Stadium,28-Apr-14
960,Dale Steyn,4,20,2,15,5,12,MI,Dubai International Stadium,30-Apr-14
961,Morne Morkel,4,20,2,16,5,12,PBKS,Barabati Stadium,11-May-14
962,Dale Steyn,4,20,2,11,5,12,DC,Arun Jaitley Stadium,10-May-14
963,Ankit Sharma,4,20,2,12,5,12,CSK,JSCA Stadium,13-May-14
964,Irfan Pathan,2,10,2,4,5,6,MI,Dubai International Stadium,30-Apr-14
965,Parvinder Awana,3,15,2,11,5,9,DC,IS Bindra Stadium,25-May-14
966,Axar Patel,4,20,2,10,5,12,SRH,Sharjah Cricket Stadium,22-Apr-14
967,Piyush Chawla,3,15,1,7,5,18,MI,Zayed Cricket Stadium,16-Apr-14
968,Albie Morkel,4,20,1,12,5,24,PBKS,M. Chinnaswamy Stadium,09-May-14
969,Karn Sharma,4,20,1,6,5,24,RR,Narendra Modi Stadium,08-May-14
970,Praveen Kumar,4,20,1,16,5,24,PBKS,IS Bindra Stadium,21-May-14
971,Dale Steyn,4,20,0,12,5,0,CSK,Sharjah Cricket Stadium,27-Apr-14
972,Ravichandran Ashwin,4,20,0,9,5,0,MI,Dubai International Stadium,25-Apr-14
973,James Faulkner,4,20,0,9,5,0,SRH,Narendra Modi Stadium,08-May-14
974,Suresh Raina,4,20,0,9,5,0,RCB,JSCA Stadium,18-May-14
975,Axar Patel,4,20,0,12,5,0,KKR,Barabati Stadium,11-May-14
976,JP Duminy,2,10,0,6,5,0,RCB,Sharjah Cricket Stadium,17-Apr-14
977,Samuel Badree,3,15,0,7,5,0,RCB,JSCA Stadium,18-May-14
978,Shane Watson,4,21,3,12,5.25,8,KKR,Narendra Modi Stadium,05-May-14
979,Sandeep Sharma,4,21,3,16,5.25,8,KKR,Zayed Cricket Stadium,26-Apr-14
980,Wayne Parnell,4,21,2,11,5.25,12,KKR,Arun Jaitley Stadium,07-May-14
981,Mitchell Starc,4,21,2,11,5.25,12,SRH,M. Chinnaswamy Stadium,04-May-14
982,Bhuvneshwar Kumar,4,21,2,12,5.25,12,MI,Rajiv Gandhi Intl. Cricket Stadium,12-May-14
983,Mitchell Starc,4,21,2,11,5.25,12,MI,Dubai International Stadium,19-Apr-14
984,Zaheer Khan,4,21,2,12,5.25,12,RCB,Dubai International Stadium,19-Apr-14
985,Pravin Tambe,4,21,1,7,5.25,24,SRH,Narendra Modi Stadium,08-May-14
986,Sunil Narine,4,21,1,13,5.25,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
987,Ravichandran Ashwin,4,21,1,11,5.25,24,KKR,JSCA Stadium,02-May-14
988,Shakib Al Hasan,4,21,1,13,5.25,24,MI,Barabati Stadium,14-May-14
989,Axar Patel,4,21,0,10,5.25,0,KKR,M. Chinnaswamy Stadium,01-Jun-14
990,Ishwar Pandey,4,21,0,12,5.25,0,MI,Dubai International Stadium,25-Apr-14
991,Morne Morkel,4,21,0,14,5.25,0,RCB,Eden Gardens,22-May-14
992,Mohit Sharma,3,16,1,9,5.33,18,RCB,M. Chinnaswamy Stadium,24-May-14
993,Tim Southee,3,16,0,9,5.33,0,RCB,Zayed Cricket Stadium,26-Apr-14
994,James Faulkner,2,11,3,7,5.5,4,KKR,Zayed Cricket Stadium,29-Apr-14
995,Imran Tahir,4,22,3,11,5.5,8,PBKS,Arun Jaitley Stadium,19-May-14
996,Harbhajan Singh,4,22,2,10,5.5,12,KKR,Barabati Stadium,14-May-14
997,Karanveer Singh,4,22,2,8,5.5,12,DC,IS Bindra Stadium,25-May-14
998,Jasprit Bumrah,4,22,2,12,5.5,12,RCB,Wankhede Stadium,06-May-14
999,Rajat Bhatia,4,22,2,7,5.5,12,SRH,Zayed Cricket Stadium,18-Apr-14
1000,Dwayne Smith,2,11,1,4,5.5,12,SRH,Sharjah Cricket Stadium,27-Apr-14
1001,Moises Henriques,2,11,1,5,5.5,12,RR,Narendra Modi Stadium,08-May-14
1002,Ishwar Pandey,4,22,1,14,5.5,24,RR,Dubai International Stadium,23-Apr-14
1003,Axar Patel,4,22,1,14,5.5,24,RR,Sharjah Cricket Stadium,20-Apr-14
1004,Rishi Dhawan,4,22,1,11,5.5,24,DC,IS Bindra Stadium,25-May-14
1005,Mohammad Shami,4,22,1,10,5.5,24,RR,Arun Jaitley Stadium,03-May-14
1006,Axar Patel,4,22,1,7,5.5,24,RCB,M. Chinnaswamy Stadium,09-May-14
1007,Axar Patel,2,11,0,5,5.5,0,RCB,Dubai International Stadium,28-Apr-14
1008,Lasith Malinga,4,22,0,11,5.5,0,CSK,Dubai International Stadium,25-Apr-14
1009,Harbhajan Singh,4,22,0,10,5.5,0,CSK,Wankhede Stadium,10-May-14
1010,Mohit Sharma,3,17,1,6,5.66,18,DC,Zayed Cricket Stadium,21-Apr-14
1011,Rahul Tewatia,3,17,1,9,5.66,18,RCB,M. Chinnaswamy Stadium,11-May-14
1012,Yuzvendra Chahal,3,17,1,13,5.66,18,RR,Zayed Cricket Stadium,26-Apr-14
1013,Lasith Malinga,4,23,4,10,5.75,6,KKR,Zayed Cricket Stadium,16-Apr-14
1014,Rajat Bhatia,4,23,3,6,5.75,8,SRH,Narendra Modi Stadium,08-May-14
1015,Ankit Sharma,4,23,2,10,5.75,12,MI,Narendra Modi Stadium,19-May-14
1016,Dhawal Kulkarni,4,23,2,11,5.75,12,SRH,Zayed Cricket Stadium,18-Apr-14
1017,Yuzvendra Chahal,4,23,2,8,5.75,12,PBKS,Dubai International Stadium,28-Apr-14
1018,Rishi Dhawan,4,23,2,12,5.75,12,MI,Wankhede Stadium,03-May-14
1019,Bhuvneshwar Kumar,4,23,2,10,5.75,12,CSK,Sharjah Cricket Stadium,27-Apr-14
1020,Yuzvendra Chahal,4,23,2,7,5.75,12,PBKS,M. Chinnaswamy Stadium,09-May-14
1021,Morne Morkel,4,23,2,14,5.75,12,PBKS,Eden Gardens,28-May-14
1022,Ishwar Pandey,4,23,2,13,5.75,12,DC,Zayed Cricket Stadium,21-Apr-14
1023,Zaheer Khan,4,23,1,11,5.75,24,KKR,Zayed Cricket Stadium,16-Apr-14
1024,Piyush Chawla,4,23,1,7,5.75,24,PBKS,Eden Gardens,28-May-14
1025,Ravindra Jadeja,4,23,1,10,5.75,24,DC,Arun Jaitley Stadium,05-May-14
1026,Shakib Al Hasan,4,23,1,8,5.75,24,RR,Zayed Cricket Stadium,29-Apr-14
1027,Karn Sharma,4,23,1,10,5.75,24,DC,Dubai International Stadium,25-Apr-14
1028,Axar Patel,4,23,1,8,5.75,24,CSK,Wankhede Stadium,30-May-14
1029,Bhuvneshwar Kumar,4,23,1,10,5.75,24,DC,Arun Jaitley Stadium,10-May-14
1030,Mitchell Starc,4,23,0,9,5.75,0,CSK,JSCA Stadium,18-May-14
1031,Mohammad Shami,4,23,0,8,5.75,0,KKR,Arun Jaitley Stadium,07-May-14
1032,Pravin Tambe,4,23,0,8,5.75,0,SRH,Zayed Cricket Stadium,18-Apr-14
1033,Harbhajan Singh,4,23,0,10,5.75,0,DC,Sharjah Cricket Stadium,27-Apr-14
1034,Dale Steyn,4,23,0,9,5.75,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,20-May-14
1035,Sunil Narine,4,24,3,11,6,8,PBKS,Zayed Cricket Stadium,26-Apr-14
1036,Axar Patel,4,24,3,6,6,8,RR,IS Bindra Stadium,23-May-14
1037,Rajat Bhatia,3,18,2,7,6,9,DC,Narendra Modi Stadium,15-May-14
1038,Bhuvneshwar Kumar,3.3,21,1,9,6,21,RR,Zayed Cricket Stadium,18-Apr-14
1039,Albie Morkel,3,18,1,7,6,18,DC,Sharjah Cricket Stadium,17-Apr-14
1040,Shahbaz Nadeem,4,24,1,12,6,24,SRH,Dubai International Stadium,25-Apr-14
1041,Dale Steyn,4,24,1,10,6,24,KKR,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
1042,Rishi Dhawan,4,24,1,7,6,24,KKR,Zayed Cricket Stadium,26-Apr-14
1043,Sunil Narine,4,24,1,11,6,24,CSK,Eden Gardens,20-May-14
1044,Piyush Chawla,4,24,1,10,6,24,SRH,Rajiv Gandhi Intl. Cricket Stadium,18-May-14
1045,Rahul Tewatia,4,24,1,10,6,24,PBKS,IS Bindra Stadium,23-May-14
1046,Yuzvendra Chahal,4,24,1,8,6,24,RR,M. Chinnaswamy Stadium,11-May-14
1047,Dhawal Kulkarni,4,24,1,10,6,24,DC,Narendra Modi Stadium,15-May-14
1048,Ravichandran Ashwin,4,24,0,9,6,0,KKR,Eden Gardens,20-May-14
1049,Yuzvendra Chahal,4,24,0,8,6,0,CSK,M. Chinnaswamy Stadium,24-May-14
1050,Zaheer Khan,4,9,2,18,2.25,12,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
1051,Ashish Nehra,4,10,4,14,2.5,6,RCB,M. Chinnaswamy Stadium,22-Apr-15
1052,Ravichandran Ashwin,2,5,2,8,2.5,6,KKR,Chidambaram,28-Apr-15
1053,Ravindra Jadeja,4,11,4,11,2.75,6,RR,Chidambaram,10-May-15
1054,Harbhajan Singh,4,11,2,15,2.75,12,DC,Wankhede Stadium,05-May-15
1055,Dhawal Kulkarni,3,9,2,13,3,9,SRH,ACA-VDCA Stadium,16-Apr-15
1056,Sandeep Sharma,4,12,1,14,3,24,MI,Wankhede Stadium,12-Apr-15
1057,Ravichandran Ashwin,4,13,1,16,3.25,24,RCB,JSCA Stadium,22-May-15
1058,Mohit Sharma,3,10,1,12,3.33,18,PBKS,Chidambaram,25-Apr-15
1059,Sandeep Sharma,3,10,0,12,3.33,0,DC,Arun Jaitley Stadium,01-May-15
1060,Ravichandran Ashwin,4,14,2,14,3.5,12,PBKS,Chidambaram,25-Apr-15
1061,Ravichandran Ashwin,4,14,1,14,3.5,24,PBKS,IS Bindra Stadium,16-May-15
1062,Domnic Joseph,2,7,1,8,3.5,12,MI,Arun Jaitley Stadium,23-Apr-15
1063,Ravindra Jadeja,3,11,0,10,3.66,0,KKR,Chidambaram,28-Apr-15
1064,Mitchell Starc,4,15,4,14,3.75,6,PBKS,M. Chinnaswamy Stadium,06-May-15
1065,JP Duminy,4,15,1,10,3.75,24,PBKS,Arun Jaitley Stadium,01-May-15
1066,Moises Henriques,4,16,3,10,4,8,PBKS,Rajiv Gandhi Intl. Cricket Stadium,11-May-15
1067,Mitchell McClenaghan,4,16,3,13,4,8,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1068,Ashish Nehra,4,16,2,15,4,12,PBKS,Chidambaram,25-Apr-15
1069,Karn Sharma,3,12,2,11,4,9,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1070,Stuart Binny,2,8,1,8,4,12,MI,Narendra Modi Stadium,14-Apr-15
1071,Piyush Chawla,4,16,1,8,4,24,SRH,Eden Gardens,04-May-15
1072,Jayant Yadav,2,8,1,7,4,12,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
1073,Suresh Raina,3,12,0,8,4,0,KKR,Chidambaram,28-Apr-15
1074,Zaheer Khan,4,17,2,13,4.25,12,PBKS,Arun Jaitley Stadium,01-May-15
1075,Brad Hogg,4,17,2,10,4.25,12,SRH,Eden Gardens,04-May-15
1076,Lasith Malinga,4,17,2,12,4.25,12,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1077,Ravichandran Ashwin,4,17,2,15,4.25,12,MI,Chidambaram,08-May-15
1078,Sunil Narine,4,17,1,11,4.25,24,PBKS,Maharashtra Cricket Association's International Stadium,18-Apr-15
1079,Iqbal Abdulla,4,17,1,12,4.25,24,DC,Arun Jaitley Stadium,26-Apr-15
1080,Vinay Kumar,3,13,1,11,4.33,18,RR,Narendra Modi Stadium,14-Apr-15
1081,Dwayne Bravo,3,13,0,5,4.33,0,PBKS,Chidambaram,25-Apr-15
1082,Umesh Yadav,4,18,2,11,4.5,12,DC,Arun Jaitley Stadium,20-Apr-15
1083,Morne Morkel,4,18,2,15,4.5,12,MI,Eden Gardens,08-Apr-15
1084,Ravi Bopara,4,18,2,12,4.5,12,RR,ACA-VDCA Stadium,16-Apr-15
1085,Sandeep Sharma,2,9,1,7,4.5,12,CSK,IS Bindra Stadium,16-May-15
1086,Brad Hogg,4,18,1,9,4.5,24,CSK,Chidambaram,28-Apr-15
1087,Beuran Hendricks,2,9,1,4,4.5,12,RCB,IS Bindra Stadium,13-May-15
1088,Shahbaz Nadeem,4,18,0,15,4.5,0,CSK,Shaheed Veer Narayan Singh International Cricket Stadium,12-May-15
1089,Dwayne Bravo,3.4,17,2,12,4.63,11,RCB,Chidambaram,04-May-15
1090,Jagadeesha Suchith,3,14,2,8,4.66,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1091,Harshal Patel,3,14,1,7,4.66,18,DC,Arun Jaitley Stadium,26-Apr-15
1092,Nathan Coulter-Nile,3,14,0,13,4.66,0,PBKS,Maharashtra Cricket Association's International Stadium,15-Apr-15
1093,Sunil Narine,4,19,4,13,4.75,6,PBKS,Eden Gardens,09-May-15
1094,Chris Morris,4,19,3,12,4.75,8,CSK,Chidambaram,10-May-15
1095,Trent Boult,4,19,3,14,4.75,8,PBKS,IS Bindra Stadium,27-Apr-15
1096,Ashish Nehra,4,19,3,13,4.75,8,RCB,Chidambaram,04-May-15
1097,Harshal Patel,4,19,2,13,4.75,12,CSK,Chidambaram,04-May-15
1098,Jayant Yadav,4,19,1,10,4.75,24,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1099,Chris Morris,4,19,1,14,4.75,24,CSK,Narendra Modi Stadium,19-Apr-15
1100,Sandeep Sharma,4,19,1,11,4.75,24,RR,Maharashtra Cricket Association's International Stadium,10-Apr-15
1101,Nathan Coulter-Nile,4,20,4,13,5,6,PBKS,Arun Jaitley Stadium,01-May-15
1102,Mitchell Starc,4,20,3,14,5,8,DC,Arun Jaitley Stadium,26-Apr-15
1103,Mitchell McClenaghan,4,20,3,13,5,8,SRH,Wankhede Stadium,25-Apr-15
1104,Yuzvendra Chahal,4,20,2,9,5,12,RR,Maharashtra Cricket Association's International Stadium,20-May-15
1105,Harbhajan Singh,4,20,2,9,5,12,PBKS,Wankhede Stadium,12-Apr-15
1106,Moises Henriques,4,20,2,12,5,12,CSK,Rajiv Gandhi Intl. Cricket Stadium,02-May-15
1107,Andre Russell,4,20,2,9,5,12,CSK,Eden Gardens,30-Apr-15
1108,Harshal Patel,3,15,2,8,5,9,RR,Maharashtra Cricket Association's International Stadium,20-May-15
1109,Sreenath Aravind,4,20,2,13,5,12,RR,Maharashtra Cricket Association's International Stadium,20-May-15
1110,Bhuvneshwar Kumar,4,20,1,11,5,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1111,Dhawal Kulkarni,3,15,1,10,5,18,MI,Narendra Modi Stadium,14-Apr-15
1112,Karn Sharma,4,20,1,7,5,24,RCB,M. Chinnaswamy Stadium,13-Apr-15
1113,Parveez Rasool,4,20,1,9,5,24,DC,Shaheed Veer Narayan Singh International Cricket Stadium,09-May-15
1114,Amit Mishra,4,20,1,14,5,24,KKR,Eden Gardens,07-May-15
1115,Andre Russell,2,10,1,8,5,12,SRH,Eden Gardens,04-May-15
1116,Amit Mishra,2,10,1,5,5,12,PBKS,Arun Jaitley Stadium,01-May-15
1117,Deepak Hooda,4,20,0,8,5,0,DC,Arun Jaitley Stadium,12-Apr-15
1118,Pravin Tambe,3,15,0,7,5,0,PBKS,Maharashtra Cricket Association's International Stadium,10-Apr-15
1119,Pravin Tambe,4,21,2,12,5.25,12,SRH,ACA-VDCA Stadium,16-Apr-15
1120,Ishwar Pandey,4,21,1,14,5.25,24,RCB,M. Chinnaswamy Stadium,22-Apr-15
1121,Jagadeesha Suchith,4,21,1,10,5.25,24,CSK,Chidambaram,08-May-15
1122,Amit Mishra,4,21,1,10,5.25,24,CSK,Chidambaram,09-Apr-15
1123,Bhuvneshwar Kumar,4,21,1,9,5.25,24,DC,ACA-VDCA Stadium,18-Apr-15
1124,Piyush Chawla,4,21,1,13,5.25,24,CSK,Eden Gardens,30-Apr-15
1125,Chris Morris,4,21,0,14,5.25,0,PBKS,Maharashtra Cricket Association's International Stadium,10-Apr-15
1126,Bhuvneshwar Kumar,3,16,0,10,5.33,0,MI,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1127,Murali Vijay,3,16,0,3,5.33,0,SRH,IS Bindra Stadium,27-Apr-15
1128,David Wiese,3.2,18,2,8,5.4,10,DC,Arun Jaitley Stadium,26-Apr-15
1129,Mitchell Starc,4,22,3,13,5.5,8,RR,Narendra Modi Stadium,24-Apr-15
1130,Imran Tahir,4,22,3,13,5.5,8,MI,Arun Jaitley Stadium,23-Apr-15
1131,Ravindra Jadeja,4,22,3,9,5.5,8,PBKS,Chidambaram,25-Apr-15
1132,Axar Patel,2,11,2,2,5.5,6,RCB,IS Bindra Stadium,13-May-15
1133,Shakib Al Hasan,4,22,2,12,5.5,12,MI,Wankhede Stadium,14-May-15
1134,James Faulkner,4,22,2,10,5.5,12,DC,Brabourne Stadium,03-May-15
1135,Ravichandran Ashwin,4,22,1,8,5.5,24,SRH,Chidambaram,11-Apr-15
1136,Karn Sharma,4,22,1,6,5.5,24,PBKS,IS Bindra Stadium,27-Apr-15
1137,Mohit Sharma,4,22,1,14,5.5,24,KKR,Eden Gardens,30-Apr-15
1138,Mitchell Starc,4,22,1,13,5.5,24,RR,Maharashtra Cricket Association's International Stadium,20-May-15
1139,Mohit Sharma,4,22,1,9,5.5,24,RCB,JSCA Stadium,22-May-15
1140,Ravindra Jadeja,2,11,0,5,5.5,0,RCB,Chidambaram,04-May-15
1141,Yusuf Pathan,2,11,0,4,5.5,0,CSK,Eden Gardens,30-Apr-15
1142,Deepak Hooda,2,11,0,6,5.5,0,SRH,ACA-VDCA Stadium,16-Apr-15
1143,JP Duminy,3,17,4,6,5.66,4.5,SRH,ACA-VDCA Stadium,18-Apr-15
1144,Gurkeerat Mann Singh,3,17,2,8,5.66,9,KKR,Eden Gardens,09-May-15
1145,Ashish Nehra,3,17,1,12,5.66,18,PBKS,IS Bindra Stadium,16-May-15
1146,Vinay Kumar,3,17,0,9,5.66,0,PBKS,IS Bindra Stadium,03-May-15
1147,Moises Henriques,3,17,0,8,5.66,0,MI,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1148,Chris Morris,4,23,4,10,5.75,6,KKR,Brabourne Stadium,16-May-15
1149,Lasith Malinga,4,23,4,13,5.75,6,SRH,Wankhede Stadium,25-Apr-15
1150,Lasith Malinga,4,23,3,8,5.75,8,CSK,Wankhede Stadium,19-May-15
1151,Ashish Nehra,4,23,3,13,5.75,8,MI,Wankhede Stadium,17-Apr-15
1152,Anureet Singh,4,23,3,12,5.75,8,RR,Maharashtra Cricket Association's International Stadium,10-Apr-15
1153,Mitchell Johnson,4,23,2,17,5.75,12,MI,Wankhede Stadium,12-Apr-15
1154,Bhuvneshwar Kumar,4,23,2,11,5.75,12,PBKS,IS Bindra Stadium,27-Apr-15
1155,Harshal Patel,4,23,2,7,5.75,12,RR,Narendra Modi Stadium,24-Apr-15
1156,Pawan Negi,4,23,1,7,5.75,24,KKR,Eden Gardens,30-Apr-15
1157,Bipul Sharma,4,23,1,8,5.75,24,KKR,Eden Gardens,04-May-15
1158,Lasith Malinga,4,23,1,11,5.75,24,DC,Arun Jaitley Stadium,23-Apr-15
1159,Mitchell Starc,4,24,3,13,6,8,CSK,Chidambaram,04-May-15
1160,Varun Aaron,4,24,2,13,6,12,DC,Arun Jaitley Stadium,26-Apr-15
1161,Harshal Patel,2,12,2,4,6,6,PBKS,IS Bindra Stadium,13-May-15
1162,Domnic Joseph,3,18,2,12,6,9,KKR,Arun Jaitley Stadium,20-Apr-15
1163,Ravindra Jadeja,3,18,1,6,6,18,PBKS,IS Bindra Stadium,16-May-15
1164,Pravin Tambe,3,18,1,8,6,18,DC,Arun Jaitley Stadium,12-Apr-15
1165,Harbhajan Singh,3,18,1,6,6,18,SRH,Rajiv Gandhi Intl. Cricket Stadium,17-May-15
1166,Domnic Joseph,3,18,1,9,6,18,CSK,Chidambaram,09-Apr-15
1167,Rishi Dhawan,2,12,1,7,6,12,CSK,IS Bindra Stadium,16-May-15
1168,Andre Russell,4,24,1,13,6,24,DC,Eden Gardens,07-May-15
1169,Mitchell Starc,4,24,1,12,6,24,CSK,M. Chinnaswamy Stadium,22-Apr-15
1170,Vinay Kumar,3.3,21,0,10,6,0,KKR,Eden Gardens,08-Apr-15
1171,Corey Anderson,2,12,0,5,6,0,RR,Narendra Modi Stadium,14-Apr-15
