,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date
536,Brad Hodge,14,5,280,2,1,RR,Holkar Cricket Stadium,15-May-11
537,Jesse Ryder,14,6,233.33,0,2,DC,DY Patil Stadium,17-Apr-11
538,Amit Mishra,14,5,280,3,0,MI,Rajiv Gandhi Intl. Cricket Stadium,24-Apr-11
539,Chris Gayle,14,6,233.33,2,1,KKR,Eden Gardens,22-Apr-11
540,Adam Gilchrist,14,5,280,0,2,RCB,HPCA Stadium,17-May-11
541,Ambati Rayudu,14,4,350,2,1,PBKS,Wankhede Stadium,02-May-11
542,Jesse Ryder,14,6,233.33,1,1,DC,DY Patil Stadium,17-Apr-11
543,Michael Hussey,14,5,280,2,0,RCB,Chidambaram,16-Apr-11
544,Jesse Ryder,14,6,233.33,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-11
545,Manoj Tiwary,14,4,350,1,1,DC,Arun Jaitley Stadium,28-Apr-11
546,Shane Watson,14,5,280,2,1,MI,Wankhede Stadium,20-May-11
547,Davy Jacobs,14,5,280,2,1,RCB,M. Chinnaswamy Stadium,12-Apr-11
548,Murali Vijay,14,6,233.33,3,0,KTK,Chidambaram,18-May-11
549,Asad Pathan,14,4,350,2,1,CSK,Chidambaram,16-Apr-11
550,Virender Sehwag,14,5,280,3,0,DEC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
551,Murali Vijay,14,4,350,2,1,RCB,Chidambaram,16-Apr-11
552,Paul Valthaty,14,6,233.33,0,2,DC,Arun Jaitley Stadium,23-Apr-11
553,Manoj Tiwary,14,4,350,2,1,RR,Eden Gardens,17-Apr-11
554,Manish Pandey,14,6,233.33,2,1,DEC,Rajiv Gandhi Intl. Cricket Stadium,10-May-11
555,Rahul Dravid,14,6,233.33,2,1,DC,Sawai Mansingh Stadium,12-Apr-11
556,Praveen Kumar,14,6,233.33,2,1,RCB,M. Chinnaswamy Stadium,06-May-11
557,Paul Valthaty,14,4,350,0,2,DEC,Rajiv Gandhi Intl. Cricket Stadium,16-Apr-11
558,Eoin Morgan,14,6,233.33,1,1,KTK,Jawaharlal Nehru Stadium,05-May-11
559,Irfan Pathan,14,5,280,2,0,CSK,Chidambaram,12-May-11
560,Bharat Chipli,14,5,280,3,0,RCB,Rajiv Gandhi Intl. Cricket Stadium,14-Apr-11
561,Chris Gayle,13,5,260,0,2,KKR,Eden Gardens,22-Apr-11
562,Saurabh Tiwary,13,5,260,0,2,CSK,Chidambaram,28-May-11
563,Brendon McCullum,13,4,325,0,2,PBKS,Holkar Cricket Stadium,13-May-11
564,JP Duminy,13,5,260,1,1,DC,Rajiv Gandhi Intl. Cricket Stadium,05-May-11
